Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%_x,REB%,TO Ratio,eFG%,TS%,USG%_x,PACE,PIE,POSS,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,DEF RTG,%DREB_x,STL%,%BLK_x,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%REB,%AST,%TOV,%STL,%BLKA,%PF,%PFD,%PTS
Stephen Curry,GSW,33,58,32,26,34.1,31.5,10.3,21.3,48.5,5.3,12.4,42.6,5.6,6.1,91.5,0.5,5.1,5.6,5.7,3.4,1.2,0.1,1.9,47.5,8.0,0.0,2.8,113.1,110.0,3.1,28.4,1.7,17.5,1.3,13.7,7.8,10.3,60.9,65.8,32.5,105.52,18.0,4360,41.6,58.4,31.9,6.3,50.4,10.7,17.7,13.6,25.6,40.8,59.2,57.7,42.3,49.4,50.6,110.0,20.2,20.8,3.4,13.2,10.3,9.9,32.1,0.107,33.8,33.6,48.3,43.1,43.1,37.9,8.0,17.9,27.6,29.8,20.8,32.5,12.1,32.1,37.1
Bradley Beal,WAS,27,57,29,28,35.6,31.1,11.1,22.8,48.5,2.2,6.2,34.7,6.8,7.6,89.4,1.2,3.5,4.7,4.5,3.2,1.2,0.4,2.4,44.9,4.0,0.0,-0.5,114.4,115.3,-0.9,20.6,1.4,13.4,3.2,9.5,6.4,9.5,53.3,59.4,33.3,105.13,14.5,4447,72.8,27.2,57.4,17.1,20.8,7.0,21.8,13.5,40.2,43.8,56.2,71.5,28.5,49.2,50.8,115.3,13.8,20.1,11.7,13.1,10.2,8.3,35.5,0.054,33.8,34.3,29.4,30.4,42.0,37.0,15.9,14.3,22.9,29.6,20.1,26.5,14.3,32.3,34.9
Joel Embiid,PHI,27,47,36,11,31.5,29.1,9.2,18.0,51.1,1.1,3.1,36.3,9.5,11.1,85.5,2.3,8.4,10.8,2.9,3.1,1.0,1.4,2.4,50.4,29.0,0.0,8.0,117.8,105.8,12.0,15.9,0.94,10.1,8.1,25.3,17.3,10.8,54.2,63.4,35.5,101.1,20.4,3121,82.8,17.2,55.6,19.2,11.6,6.5,32.8,13.0,36.5,42.9,57.1,88.7,11.3,48.5,51.5,105.8,35.8,16.1,36.9,10.9,7.6,9.3,29.4,0.136,33.3,32.9,15.2,16.9,61.7,58.3,43.3,37.2,18.4,34.7,16.1,35.0,21.5,53.0,37.1
Luka Doncic,DAL,22,59,35,24,35.1,28.5,10.1,20.8,48.7,3.0,8.4,35.6,5.3,7.3,72.4,0.8,7.2,8.1,8.9,4.4,1.0,0.6,2.4,51.8,24.0,10.0,2.8,117.0,112.7,4.3,42.9,2.04,23.9,2.4,20.0,11.4,11.7,55.8,59.4,34.9,99.19,18.2,4270,59.8,40.2,50.1,10.0,31.4,5.8,18.5,10.5,40.1,10.0,90.0,22.7,77.3,13.7,86.3,112.7,29.0,21.3,17.5,10.1,9.5,9.6,33.6,0.081,32.9,32.7,27.8,29.3,42.7,45.4,12.5,25.6,52.4,49.9,21.3,32.2,16.8,38.5,33.7
Damian Lillard,POR,30,61,34,27,35.7,28.4,8.8,20.0,44.0,4.1,10.7,38.4,6.7,7.2,92.5,0.5,3.7,4.2,7.6,3.1,1.0,0.3,1.6,45.4,15.0,0.0,2.1,118.8,115.9,2.9,33.7,2.45,22.5,1.2,10.4,5.6,9.2,54.2,61.2,30.7,100.5,15.4,4563,46.8,53.2,33.2,7.5,43.3,9.1,23.5,12.1,25.7,16.7,83.3,40.8,59.2,27.9,72.1,115.9,14.9,18.0,7.2,11.3,9.7,10.6,36.2,0.049,28.2,29.3,33.4,33.5,47.6,43.6,6.0,12.8,46.2,36.6,18.0,29.1,11.5,43.1,32.0
Giannis Antetokounmpo,MIL,26,56,36,20,33.1,28.4,10.3,18.3,56.2,1.2,3.7,31.1,6.7,9.7,68.8,1.6,9.4,11.1,5.9,3.6,1.2,1.3,2.8,54.3,38.0,7.0,7.0,116.7,106.5,10.3,28.6,1.64,18.5,4.9,26.5,16.1,11.3,59.4,62.9,32.6,104.08,19.7,4011,79.6,20.4,64.3,5.8,12.3,16.6,23.4,14.2,58.5,41.9,58.1,27.7,72.3,40.3,59.7,106.5,35.6,21.1,35.9,10.9,7.8,7.1,29.1,0.138,33.3,29.5,12.0,14.6,55.2,59.3,24.9,33.5,33.2,37.3,21.1,35.1,23.3,55.8,34.0
Kevin Durant,BKN,32,29,18,11,33.1,28.3,9.8,17.9,54.6,2.7,5.7,47.9,6.0,6.9,87.5,0.4,6.5,6.9,5.2,3.6,0.7,1.2,2.1,46.7,10.0,0.0,7.8,121.1,111.1,10.0,24.0,1.47,17.6,1.3,17.6,10.2,12.0,62.3,67.7,30.9,103.53,17.4,2081,68.1,31.9,49.8,19.3,28.9,11.0,21.3,10.5,30.5,47.1,52.9,64.6,35.4,51.9,48.1,111.1,25.5,17.1,30.5,10.7,10.0,6.8,33.9,0.093,31.0,29.7,26.3,23.5,44.4,42.3,6.9,22.2,26.6,35.2,17.1,25.5,16.4,39.0,32.5
Zach LaVine,CHI,26,53,22,31,35.2,27.5,9.8,19.4,50.6,3.4,8.2,41.6,4.4,5.2,84.8,0.6,4.5,5.1,5.1,3.6,0.8,0.5,2.3,41.6,3.0,0.0,-0.6,112.6,113.9,-1.4,23.2,1.39,16.8,1.8,12.5,7.3,12.0,59.4,63.3,30.3,101.5,14.1,3957,57.3,42.7,46.4,9.5,37.7,13.1,15.9,13.7,36.8,36.4,63.6,52.4,47.6,42.0,58.0,113.9,17.4,17.5,15.5,13.7,9.1,8.7,37.4,0.069,30.9,30.0,36.3,33.5,39.1,37.2,9.1,15.7,25.7,32.1,17.0,31.3,17.5,30.3,32.6
Kyrie Irving,BKN,29,49,32,17,35.3,27.0,10.2,20.4,50.0,2.7,7.0,38.5,3.9,4.2,92.2,1.1,3.9,4.9,6.3,2.5,1.4,0.6,2.6,45.8,8.0,0.0,3.8,119.2,114.2,5.0,28.1,2.49,20.3,3.1,10.2,6.9,8.2,56.6,60.6,29.9,101.34,14.8,3653,65.7,34.3,55.8,15.4,29.9,10.2,14.3,10.2,40.4,23.6,76.4,54.5,45.5,31.7,68.3,114.2,15.2,26.5,15.6,11.1,11.3,8.3,35.9,0.066,31.3,31.3,25.9,26.9,29.5,25.7,16.9,15.6,32.0,27.7,26.5,31.3,17.8,25.6,30.4
Zion Williamson,NOP,20,61,29,32,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14.0,0.0,1.5,113.9,111.7,2.1,18.8,1.35,13.7,8.1,13.1,10.6,10.1,61.6,64.9,28.7,103.3,16.1,4358,96.7,3.3,75.8,0.7,1.8,9.8,22.4,13.5,75.0,55.3,44.7,100.0,0.0,56.0,44.0,111.7,18.5,18.4,21.5,12.3,8.4,9.5,31.9,0.088,34.6,27.9,2.4,2.8,42.5,44.5,33.8,22.3,20.0,27.2,18.4,49.2,18.9,39.2,33.2
